peak_budget,workload_budget,reward,p_hard,queries
8.0,4.0,0.680790054321289,0.57,7.0
8.0,5.0,0.6883525238037109,0.71,7.0
8.0,6.0,0.6959149932861328,0.85,7.0
8.0,7.0,0.7040176391601562,1.0,7.0
8.0,8.0,0.7040176391601562,1.0,7.0
8.0,9.0,0.7040176391601562,1.0,7.0
8.0,10.0,0.7040176391601562,1.0,7.0
8.0,11.0,0.7040176391601562,1.0,7.0
8.0,12.0,0.7040176391601562,1.0,7.0
8.0,13.0,0.7040176391601562,1.0,7.0
8.0,14.0,0.7040176391601562,1.0,7.0
8.0,15.0,0.7040176391601562,1.0,7.0
8.0,16.0,0.7040176391601562,1.0,7.0
8.0,17.0,0.7040176391601562,1.0,7.0
8.0,18.0,0.7040176391601562,1.0,7.0
8.0,19.0,0.7040176391601562,1.0,7.0
8.0,20.0,0.7040176391601562,1.0,7.0
8.0,21.0,0.7040176391601562,1.0,7.0
9.0,0.0,0.65,0.0,0.0
9.0,1.0,0.6593345413208008,0.11,9.0
9.0,2.0,0.6686690826416015,0.22,9.0
9.0,3.0,0.6780036239624023,0.33,9.0
9.0,4.0,0.6873381652832031,0.44,9.0
9.0,5.0,0.6966727066040039,0.55,9.0
9.0,6.0,0.7060072479248047,0.66,9.0
9.0,7.0,0.7153417892456054,0.77,9.0
9.0,8.0,0.7246763305664062,0.88,9.0
9.0,9.0,0.7348594665527344,1.0,9.0
9.0,10.0,0.7348594665527344,1.0,9.0
9.0,11.0,0.7348594665527344,1.0,9.0
9.0,12.0,0.7348594665527344,1.0,9.0
9.0,13.0,0.7348594665527344,1.0,9.0
9.0,14.0,0.7348594665527344,1.0,9.0
9.0,15.0,0.7348594665527344,1.0,9.0
9.0,16.0,0.7348594665527344,1.0,9.0
9.0,17.0,0.7348594665527344,1.0,9.0
9.0,18.0,0.7348594665527344,1.0,9.0
9.0,19.0,0.7348594665527344,1.0,9.0
9.0,20.0,0.7348594665527344,1.0,9.0
9.0,21.0,0.7348594665527344,1.0,9.0
10.0,0.0,0.65,0.0,0.0
10.0,1.0,0.6593345413208008,0.11,9.0
10.0,2.0,0.6686690826416015,0.22,9.0
10.0,3.0,0.6780036239624023,0.33,9.0
10.0,4.0,0.6873381652832031,0.44,9.0
10.0,5.0,0.6966727066040039,0.55,9.0
10.0,6.0,0.7060072479248047,0.66,9.0
10.0,7.0,0.7153417892456054,0.77,9.0
10.0,8.0,0.7246763305664062,0.88,9.0
10.0,9.0,0.7348594665527344,1.0,9.0
10.0,10.0,0.7348594665527344,1.0,9.0
10.0,11.0,0.7348594665527344,1.0,9.0
10.0,12.0,0.7348594665527344,1.0,9.0
10.0,13.0,0.7348594665527344,1.0,9.0
10.0,14.0,0.7348594665527344,1.0,9.0
10.0,15.0,0.7348594665527344,1.0,9.0
10.0,16.0,0.7348594665527344,1.0,9.0
10.0,17.0,0.7348594665527344,1.0,9.0
10.0,18.0,0.7348594665527344,1.0,9.0
10.0,19.0,0.7348594665527344,1.0,9.0
10.0,20.0,0.7348594665527344,1.0,9.0
10.0,21.0,0.7348594665527344,1.0,9.0
11.0,0.0,0.65,0.0,0.0
11.0,1.0,0.6603626480102539,0.09,11.0
11.0,2.0,0.6707252960205079,0.18,11.0
11.0,3.0,0.6810879440307617,0.27,11.0
11.0,4.0,0.6914505920410157,0.36,11.0
11.0,5.0,0.7018132400512695,0.45,11.0
11.0,6.0,0.7121758880615234,0.54,11.0
11.0,7.0,0.7225385360717773,0.63,11.0
11.0,8.0,0.7329011840820313,0.72,11.0
11.0,9.0,0.7432638320922852,0.81,11.0
11.0,10.0,0.7536264801025391,0.9,11.0
11.0,11.0,0.7651405334472656,1.0,11.0
11.0,12.0,0.7651405334472656,1.0,11.0
11.0,13.0,0.7651405334472656,1.0,11.0
11.0,14.0,0.7651405334472656,1.0,11.0
11.0,15.0,0.7651405334472656,1.0,11.0
11.0,16.0,0.7651405334472656,1.0,11.0
11.0,17.0,0.7651405334472656,1.0,11.0
11.0,18.0,0.7651405334472656,1.0,11.0
11.0,19.0,0.7651405334472656,1.0,11.0
11.0,20.0,0.7651405334472656,1.0,11.0
11.0,21.0,0.7651405334472656,1.0,11.0
12.0,0.0,0.65,0.0,0.0
12.0,1.0,0.6603626480102539,0.09,11.0
12.0,2.0,0.6707252960205079,0.18,11.0
12.0,3.0,0.6810879440307617,0.27,11.0
12.0,4.0,0.6914505920410157,0.36,11.0
12.0,5.0,0.7018132400512695,0.45,11.0
12.0,6.0,0.7121758880615234,0.54,11.0
12.0,7.0,0.7225385360717773,0.63,11.0
12.0,8.0,0.7329011840820313,0.72,11.0
12.0,9.0,0.7432638320922852,0.81,11.0
12.0,10.0,0.7536264801025391,0.9,11.0
12.0,11.0,0.7651405334472656,1.0,11.0
12.0,12.0,0.7651405334472656,1.0,11.0
12.0,13.0,0.7651405334472656,1.0,11.0
12.0,14.0,0.7651405334472656,1.0,11.0
12.0,15.0,0.7651405334472656,1.0,11.0
12.0,16.0,0.7651405334472656,1.0,11.0
12.0,17.0,0.7651405334472656,1.0,11.0
12.0,18.0,0.7651405334472656,1.0,11.0
12.0,19.0,0.7651405334472656,1.0,11.0
12.0,20.0,0.7651405334472656,1.0,11.0
12.0,21.0,0.7651405334472656,1.0,11.0
13.0,0.0,0.65,0.0,0.0
13.0,1.0,0.6603626480102539,0.09,11.0
13.0,2.0,0.6718973541259765,0.15,13.0
13.0,3.0,0.6835759429931642,0.23,13.0
13.0,4.0,0.6937947082519531,0.3,13.0
13.0,5.0,0.7054732971191406,0.38,13.0
13.0,6.0,0.7171518859863282,0.46,13.0
13.0,7.0,0.7273706512451172,0.53,13.0
13.0,8.0,0.7390492401123047,0.61,13.0
13.0,9.0,0.7507278289794922,0.69,13.0
13.0,10.0,0.7609465942382813,0.76,13.0
13.0,11.0,0.7726251831054687,0.84,13.0
13.0,12.0,0.7843037719726562,0.92,13.0
13.0,13.0,0.7959823608398438,1.0,13.0
13.0,14.0,0.7959823608398438,1.0,13.0
13.0,15.0,0.7959823608398438,1.0,13.0
13.0,16.0,0.7959823608398438,1.0,13.0
13.0,17.0,0.7959823608398438,1.0,13.0
13.0,18.0,0.7959823608398438,1.0,13.0
13.0,19.0,0.7959823608398438,1.0,13.0
13.0,20.0,0.7959823608398438,1.0,13.0
13.0,21.0,0.7959823608398438,1.0,13.0
14.0,0.0,0.65,0.0,0.0
14.0,1.0,0.6603626480102539,0.09,11.0
14.0,2.0,0.6718973541259765,0.15,13.0
14.0,3.0,0.6835759429931642,0.23,13.0
14.0,4.0,0.6937947082519531,0.3,13.0
